ID,Ball,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
21386,"{21121, 20483, 21637, 21638, 22021, 21640, 21641, 21386, 21643, 20620, 22793, 21390, 22033, 22036, 22037, 19863, 20376, 22043, 19869, 20382, 21663, 21666, 22434, 21415, 22442, 20012, 19757, 21678, 20655, 21679, 21425, 21680, 21427, 21428, 21684, 22576, 20535, 20536, 21947, 20673, 21827, 20678, 19785, 20427, 21708, 21965, 21967, 21456, 19925, 21078, 21850, 19932, 22493, 19935, 19809, 20474, 20324, 21348, 20710, 21353, 20331, 19692, 21112, 21743, 19697, 21361, 19956, 20468, 20088, 20473, 19706}",,,,,,,,,,
12580,"{12419, 14213, 13455, 13978, 12956, 12192, 12580, 14502, 13738, 12971, 14257, 13235, 14520, 12863, 13120, 13121, 12738, 12355, 12484, 12233, 13905, 13906, 13788, 13663, 13921, 13033, 13037, 13303, 12413, 14335}",,,,,,,,,,
29752,"{32263, 30856, 28297, 28298, 30090, 31885, 28302, 31886, 31887, 30099, 30100, 32788, 30360, 29214, 29215, 29471, 30753, 32159, 32175, 30773, 29367, 29752, 29117, 29375, 28225, 31940, 30541, 30033, 29139, 29779, 29784, 31709, 32606, 31711, 31715, 31973, 29417, 28287, 29296, 29169, 32752, 29172, 31221, 30330, 32251, 28031}",,,,,,,,,,
9116,"{7937, 7940, 9092, 7558, 8072, 5899, 7574, 9116, 7581, 6569, 7986, 8885, 7481, 8649, 7122, 7123, 6484, 7383, 9559, 6875, 8028, 6877, 6878, 8411, 9184, 9314, 8675, 9318, 7527, 8555, 6252, 7404, 7795, 6265, 6142, 8447}",,,,,,,,,,
20122,"{18176, 18179, 18181, 18277, 18217, 18761, 18379, 18703, 18098, 18770, 18519, 18332}",,,,,,,,,,
7466,"{8962, 8464, 6673, 8979, 8215, 6809, 8093, 7074, 7204, 7844, 7207, 8231, 8232, 7466, 8107, 6572, 8233, 8235, 7599, 8496, 6196, 9399, 6969, 6330, 6331, 8761, 9020, 8255, 8256, 8520, 8651, 9549, 7502, 6351, 9679, 7900, 8157, 5856, 6754, 6755, 6883, 5862, 9575, 8299, 7666, 7412, 9588, 6010, 8829}",,,,,,,,,,
20485,"{19969, 20485, 21383, 19720, 19849, 22664, 22545, 19734, 20631, 20632, 20507, 20380, 21660, 22310, 20007, 20903, 20533, 22458, 22845, 20670, 19776, 19777, 20417, 19913, 21964, 21842, 19801, 22745, 21470, 21344, 21728, 21478, 20586, 21870, 21104, 22644, 21369}",,,,,,,,,,
15600,"{16898, 16003, 15495, 16903, 15632, 16916, 16808, 16047, 16051, 15938, 16709, 15942, 16071, 15951, 16081, 16091, 16867, 16228, 15600, 16880, 16242, 16376, 16895}",,,,,,,,,,
7782,"{8192, 9473, 8068, 6661, 9226, 9493, 8726, 9370, 7067, 6556, 6684, 9373, 9627, 7457, 8228, 9385, 6058, 9643, 7341, 8878, 8880, 9010, 9524, 7867, 7105, 9665, 9671, 8008, 8648, 9547, 8012, 9675, 9678, 6098, 8405, 8534, 8407, 9686, 6489, 8282, 9564, 9692, 8670, 7782, 6641, 7539, 6263, 8058}",,,,,,,,,,
10421,"{14338, 12679, 12302, 13468, 14492, 13086, 13982, 14493, 12195, 13732, 13480, 12205, 14382, 13238, 13750, 13751, 13249, 12232, 13001, 13002, 14539, 14549, 12246, 13142, 13145, 14174, 12895, 14560, 14563, 13159, 12526, 14457, 12282}",,,,,,,,,,
8694,"{3298, 3751, 3179, 3339, 3150, 2866, 3186, 3060, 3346, 3030, 2999, 2968, 3797, 3834}",,,,,,,,,,
22599,"{22529, 22531, 22660, 22662, 20361, 21385, 19981, 19982, 21136, 20882, 20381, 19744, 19745, 20513, 22052, 22309, 20649, 19635, 21695, 20672, 20418, 19783, 19784, 21448, 21705, 22599, 21839, 20570, 20698, 21724, 21091, 20073, 20457, 21877, 19450, 21375}",,,,,,,,,,
31601,"{30336, 28033, 29194, 28428, 28175, 31888, 30742, 28451, 31534, 30770, 31667, 32053, 30775, 32311, 32568, 30522, 32443, 28734, 30782, 31679, 31936, 32062, 29765, 30025, 30545, 30546, 29140, 31706, 31834, 32987, 29406, 29412, 29797, 30565, 31977, 31213, 28414, 31214, 29685, 29438}",,,,,,,,,,
22620,"{19456, 22406, 22663, 20489, 20874, 20364, 19855, 19986, 20883, 20889, 21657, 20516, 22054, 19751, 21160, 20653, 19766, 21560, 21688, 21691, 20039, 21960, 22600, 20682, 21450, 21578, 20685, 19918, 21455, 22601, 21586, 22620, 19678, 21726, 19810, 20322, 21604, 21093, 20455, 22633, 22634, 22894, 20720, 20081, 20082, 22772, 20341, 22775, 22776, 20860}",,,,,,,,,,
20054,"{18240, 18274, 18275, 18436, 18437, 18119, 18440, 18599, 18631, 18187, 18632, 18763, 18132, 18100, 18518, 18425, 18266}",,,,,,,,,,
9142,"{8449, 8706, 9350, 8330, 7563, 7564, 7565, 7566, 6799, 8588, 8589, 9100, 9356, 9488, 9497, 7452, 9500, 9000, 6580, 9652, 9142, 9660, 9538, 9560, 9566, 8287, 8800, 7521, 9186, 9312, 9610, 7142, 9190, 9449, 9196, 7534, 6899, 9587, 8311, 9212, 8318}",,,,,,,,,,
20477,"{20608, 22533, 20615, 21642, 22678, 22936, 22045, 22048, 22050, 20647, 21548, 20397, 22831, 22834, 22581, 21430, 22583, 21949, 22720, 22722, 20683, 22861, 20558, 21716, 21974, 21592, 22490, 19931, 21598, 22879, 22880, 21090, 20328, 19691, 22891, 19695, 20342, 20477, 22526}",,,,,,,,,,
5704,"{7426, 8081, 6168, 7961, 6938, 6685, 8094, 8096, 7329, 7974, 5805, 6830, 9006, 9012, 8892, 6976, 6979, 8389, 6345, 9546, 6733, 7503, 6353, 8657, 8160, 6369, 9188, 7910, 8040, 7788, 7918, 8561, 5747, 5749, 5750, 7415, 7932, 7933, 6398}",,,,,,,,,,
8343,"{9216, 8451, 8324, 8325, 9351, 6920, 7177, 7562, 9098, 9609, 9358, 8336, 7569, 7570, 9490, 9617, 7573, 8343, 9499, 8998, 9002, 9649, 6194, 9651, 7097, 9659, 6718, 6849, 7106, 8261, 6984, 6603, 7506, 7507, 7508, 8021, 7421, 9178, 9309, 9565, 8425, 9450, 9195, 9198, 8687, 8305, 9586, 9210, 7548, 7549, 7550}",,,,,,,,,,
8703,"{5601, 5350, 5479, 5352, 5708, 5613, 5070, 5423, 4881, 4885, 5247}",,,,,,,,,,
8397,"{4326, 4552, 3978, 3979, 4650, 4652, 4851, 4182, 4856, 4537, 4282, 4731, 4732}",,,,,,,,,,
13438,"{14599, 12424, 13325, 13327, 13711, 13073, 14354, 14607, 13466, 14499, 14501, 13096, 12202, 12459, 13612, 12338, 12467, 14133, 14269, 12866, 14279, 13897, 13898, 14155, 14284, 13646, 14163, 14164, 13013, 13782, 12376, 12889, 13915, 13660, 12510, 12254, 13283, 13284, 14570, 14444, 13937, 13305, 13438}",,,,,,,,,,
21738,"{18208, 18592, 18595, 18495, 18725, 18374, 18375, 18165, 18198, 18517, 18776, 18585, 18779, 18141, 18110, 18207}",,,,,,,,,,
4911,"{9344, 8961, 6789, 6790, 9223, 7948, 7054, 7327, 6691, 7854, 6709, 8000, 6209, 5954, 6338, 8640, 6471, 9160, 6103, 7775, 9570, 9571, 9447, 7533, 6383, 8435, 8056}",,,,,,,,,,
14291,"{14467, 14087, 12680, 13833, 12426, 12554, 12811, 13451, 14223, 12821, 13077, 13078, 14238, 14497, 13474, 13859, 12836, 13605, 13987, 13608, 13481, 14249, 13484, 12594, 13106, 14261, 12342, 13116, 13756, 14017, 12868, 12996, 13124, 14022, 14278, 14025, 12618, 14026, 14028, 13006, 13263, 13267, 14291, 14293, 12505, 12512, 14561, 14440, 12666}",,,,,,,,,,
32742,"{30592, 29702, 32902, 31241, 29066, 30860, 30989, 31509, 32278, 32923, 32797, 28063, 28323, 29733, 32933, 32936, 32301, 29998, 29999, 32302, 32944, 29746, 28084, 28214, 31544, 28217, 31802, 31803, 29757, 30405, 30278, 28494, 32206, 32210, 32984, 32730, 29404, 32734, 32990, 32230, 28775, 30312, 32742, 30317, 30319, 30320, 29684, 28279, 32379, 29439}",,,,,,,,,,
22606,"{18342, 18247, 18780, 18380, 18477, 18781, 18385, 18484, 18676, 18295, 18360, 18552, 18557, 18367}",,,,,,,,,,
13136,"{12416, 13824, 13058, 14464, 14472, 13467, 13341, 13343, 13985, 13346, 12711, 12842, 12332, 13229, 13230, 12591, 12602, 13115, 14277, 13129, 13257, 14541, 12240, 13136, 13651, 12504, 12761, 12401, 12657, 12659, 12277, 13816, 12414, 14079}",,,,,,,,,,
9383,"{6659, 8332, 8590, 7567, 5782, 6807, 6422, 6296, 9494, 7451, 8091, 7072, 7459, 9383, 8499, 8249, 8890, 6843, 7358, 8642, 5956, 9288, 6473, 8530, 9682, 9685, 6491, 9053, 5854, 8671, 9054, 7777, 6498, 8801, 9699, 9576, 5993, 9322, 9577, 9578, 6637, 8176, 6001, 6527}",,,,,,,,,,
12270,"{14594, 12296, 12553, 14603, 12822, 12823, 12824, 13462, 13989, 13482, 13483, 13356, 13360, 14262, 13247, 12607, 12611, 13382, 12619, 13132, 13133, 13009, 12244, 13277, 14431, 13160, 13674, 14571, 12270, 13806, 12530, 14585, 14588, 12925}",,,,,,,,,,
19813,"{21380, 20370, 19993, 21659, 22812, 20129, 21411, 22062, 19760, 21950, 21954, 21958, 21962, 22732, 21454, 21841, 19813, 21863, 21864, 20329, 20597, 22645, 21372}",,,,,,,,,,
6460,"{6530, 8201, 7434, 9339, 7826, 6547, 6429, 7454, 6311, 9384, 9386, 6444, 9646, 7346, 6453, 6072, 6073, 6460, 6205, 6206, 6907, 7488, 6082, 9159, 9548, 7375, 8529, 9681, 8019, 6485, 7766, 6107, 9052, 7389, 9335, 7804, 8418, 9060, 7147, 8053, 9333, 5751, 9337, 6267, 6908, 6910}",,,,,,,,,,
25142,"{23077, 23078, 23015, 23206, 23049, 23208, 23022, 23023, 23119, 23153, 22994, 23155, 23182, 22998, 23037, 23198}",,,,,,,,,,
399,"{128, 129, 145, 24, 156, 171, 44, 172, 177, 185, 61, 63, 192, 65, 71, 72, 76, 207, 208, 86, 93, 95}",,,,,,,,,,
8459,"{6274, 8452, 8458, 8459, 9354, 7439, 8592, 8339, 9621, 6936, 5912, 6682, 9634, 6702, 6703, 7342, 6974, 5827, 6739, 6229, 6998, 8312, 9313, 7523, 8165, 6760, 9192, 8685, 8430, 6642, 8691, 5877, 5878, 5879, 7032, 5884}",,,,,,,,,,
13450,"{12417, 13450, 12952, 13721, 13085, 14125, 12851, 13109, 14393, 14142, 14143, 14286, 14159, 13904, 14414, 13781, 13657, 13787, 13281, 13922, 14310, 13031, 13927, 13801, 14316, 14323, 13301, 13302, 14325, 12411, 13053, 13310}",,,,,,,,,,
16226,"{14914, 14915, 14887, 14984, 15017, 14890, 14892, 15054, 15055, 15058, 15065, 14999, 15033, 15034, 15004}",,,,,,,,,,
31664,"{27552, 27073, 27265, 27618, 27397, 27271, 27431, 27466, 27566, 27124, 27288, 27129, 27484, 27582, 27391}",,,,,,,,,,
5191,"{8320, 8321, 8578, 6663, 9353, 7950, 7951, 9102, 9489, 6802, 6803, 9618, 9498, 6686, 8736, 9378, 8997, 9138, 6963, 9676, 6355, 8275, 8794, 9315, 5988, 5989, 5990, 7012, 9193, 7535, 7536, 7537, 7410, 7538, 8436, 8697, 8319}",,,,,,,,,,
21561,"{19462, 20366, 20367, 20884, 19989, 19990, 20375, 22680, 20633, 21658, 20387, 21412, 20902, 20519, 22055, 22569, 20522, 19758, 20016, 20018, 21561, 22585, 20031, 21569, 20674, 21571, 20676, 21573, 21701, 22598, 20553, 21961, 21453, 20686, 19795, 21462, 20065, 21347, 21605, 21098, 19819, 21866}",,,,,,,,,,
6956,"{7552, 9218, 7171, 9348, 8453, 8456, 5770, 9099, 9486, 8340, 7189, 9496, 7962, 7583, 7968, 8994, 7976, 6956, 6712, 9539, 6724, 9541, 8262, 6989, 8020, 6613, 7510, 7511, 7512, 9558, 6876, 9310, 7140, 9189, 9446, 7528, 7529, 8426, 6379, 6507, 8315, 9448, 9199, 6768, 7153, 6898, 8306, 8688, 9585, 7803, 7423}",,,,,,,,,,
19998,"{20096, 20104, 21133, 22803, 21397, 20374, 20890, 20891, 19998, 19489, 22823, 20010, 19883, 19893, 19894, 20534, 19768, 20661, 20662, 21566, 20671, 21694, 19780, 22859, 22860, 21710, 20693, 22744, 21593, 20064, 21730, 21731, 19944, 21102, 21871, 19838}",,,,,,,,,,
1500,"{2055, 2056, 2314, 1803, 2317, 2445, 2702, 2704, 2705, 2579, 2707, 2330, 2075, 1958, 1960, 2858, 1836, 1839, 1717, 2101, 1976, 2105, 2244, 1733, 1993, 2122, 2382, 2383, 2258, 2004, 2264, 2653, 2531, 1765, 2533, 2796, 2173, 2175}",,,,,,,,,,
13261,"{12288, 13059, 13315, 14215, 14216, 14346, 13707, 12303, 12432, 14479, 13463, 12312, 13464, 13981, 13471, 12198, 13351, 12331, 14381, 13748, 12469, 13749, 14260, 14525, 12872, 14536, 14538, 12493, 13261, 13908, 13143, 12770, 13158, 13940, 14458}",,,,,,,,,,
6925,"{5024, 5665, 4994, 5602, 5509, 4970, 5195, 4908, 5525, 5398, 5431, 5304, 5690}",,,,,,,,,,
8183,"{4673, 3940, 4269, 4143, 4600, 4411, 4412, 4413, 4670}",,,,,,,,,,
8860,"{7297, 9090, 7045, 9095, 8208, 8853, 8854, 7063, 8856, 8857, 7706, 8859, 8860, 6941, 8861, 8862, 9501, 9502, 8866, 8867, 9504, 8869, 7590, 8871, 6056, 8872, 8746, 7595, 8873, 9127, 9132, 6192, 7600, 9011, 8757, 7734, 9015, 7864, 9017, 9398, 9019, 7613, 9021, 7615, 9406, 6081, 7882, 7883, 7884, 7885, 7631, 9505, 7634, 7004, 6236, 6237, 7646, 7905, 7650, 7139, 7652, 5861, 6247, 7024, 8827, 7164, 7167}",,,,,,,,,,
28679,"{29824, 29187, 28679, 28807, 29703, 32008, 28939, 31889, 29971, 29465, 30749, 30750, 29727, 31904, 31661, 28085, 31669, 32438, 31674, 30780, 28226, 28866, 31427, 32205, 28497, 31058, 29396, 31063, 29144, 30040, 30553, 31064, 32223, 31713, 29798, 31974, 28266, 28267, 29935, 32627, 28921, 30844, 29182}",,,,,,,,,,
7584,"{8448, 6658, 9219, 7942, 7561, 8457, 6030, 8594, 6293, 6294, 6295, 7192, 8089, 8341, 8728, 8729, 9109, 8734, 7967, 7584, 9495, 9380, 6567, 6699, 9004, 6958, 6193, 8884, 8886, 9143, 6595, 7498, 8650, 8652, 8655, 9429, 6874, 8804, 8295, 9451, 9452, 7917, 6638, 7919, 7408, 7409, 9454, 9455}",,,,,,,,,,
6872,"{3361, 3366, 3238, 3721, 3722, 3506, 3507, 3352, 3679}",,,,,,,,,,
20354,"{18561, 18313, 18126, 18223, 18224, 18196, 18327, 18268}",,,,,,,,,,
1070,"{652, 766, 1021, 1042, 406, 895, 793, 667, 798, 930, 1059, 807, 936, 1191, 682, 683, 1195, 1070, 1199, 821, 822, 834, 835, 1348, 1351, 716, 1486, 1107, 599, 988, 1373, 358, 743, 361, 1257, 619, 364, 1385, 368, 374, 890, 889, 762, 508, 509, 638, 511}",,,,,,,,,,
28600,"{28675, 31250, 31254, 28695, 32289, 32291, 32292, 28720, 32305, 32306, 31301, 31815, 31305, 28766, 28800, 28315, 28829, 31409, 31410, 31414, 31415, 30429, 32996, 31987, 31988, 31989, 32025, 31545, 31548, 28477, 31550, 31551, 28482, 31558, 31562, 31564, 31565, 31567, 31568, 32593, 27988, 31072, 31073, 30051, 30052, 30564, 31075, 30567, 31079, 31080, 31084, 30576, 30578, 30579, 30580, 30581, 30582, 30584, 30586, 30075, 30076, 30590, 30080, 30107, 28599, 28600, 28601, 28602, 31169, 30659, 31686, 31180, 30672, 30674, 30675, 28630, 30678, 30682, 31728, 31733, 31735, 31737}",,,,,,,,,,
30873,"{32773, 32774, 32519, 29448, 29705, 28682, 28683, 30345, 29453, 32649, 31119, 32912, 32279, 30873, 31769, 29723, 30244, 30245, 30969, 32940, 31919, 31792, 31537, 32433, 30131, 32561, 32563, 31801, 28091, 28095, 31810, 30020, 32708, 29383, 30285, 30286, 31696, 30295, 31192, 28381, 30303, 28770, 28263, 28519, 32231, 31210, 30315, 30060, 32743, 28400, 32626, 31859, 30069, 30070, 30328, 30585}",,,,,,,,,,
7402,"{7041, 7170, 7814, 9222, 7945, 7568, 8082, 8210, 7444, 8085, 8086, 9106, 5918, 5919, 9120, 7585, 6946, 9375, 6952, 7849, 6320, 6451, 7995, 8638, 8395, 6862, 8271, 7771, 6629, 6249, 6250, 6251, 7402, 8169, 7406, 8432, 8562, 6771, 6646, 8054, 7930, 9087}",,,,,,,,,,
8868,"{6275, 6276, 6277, 6152, 7831, 8607, 8868, 9131, 6189, 6190, 6191, 7727, 7728, 8241, 6195, 7863, 8887, 8121, 9018, 6596, 7876, 5958, 9412, 8141, 8269, 8526, 8527, 8784, 9167, 7891, 6356, 9171, 5974, 7895, 9175, 9176, 6750, 7141, 8680, 7018, 8298, 8939, 8940, 8942, 9070, 7287, 6649, 7290}",,,,,,,,,,
8977,"{6402, 8707, 8454, 8203, 6929, 6930, 8977, 7575, 7576, 9111, 9112, 5791, 7331, 5940, 7733, 9396, 5817, 5818, 7493, 6222, 6735, 6614, 7003, 9563, 8161, 8290, 7396, 8043, 8304, 8689, 7154, 6774, 9599}",,,,,,,,,,
17021,"{17026, 16931, 16934, 16999, 16938, 16972, 16976, 17008, 16949, 17015, 16984, 17021}",,,,,,,,,,
25886,"{25986, 25987, 25864, 26122, 26125, 26259, 25877, 25879, 25881, 25883, 26141, 25886, 26144, 25894, 26278, 26287, 26288, 26038, 25783, 25790, 25536, 26442, 26188, 25549, 26321, 25557, 26198, 26202, 25821, 25823, 26337, 26210, 25830, 25589, 25854}",,,,,,,,,,
2058,"{2185, 2058, 1807, 2192, 1809, 1811, 2197, 2167, 2199, 2455, 2712, 2076, 2077, 2588, 1824, 1961, 1962, 1963, 1964, 1715, 1716, 1718, 1848, 1721, 1723, 1851, 1729, 1862, 1738, 1744, 1748, 1754, 1759, 2527, 2528, 2530, 1770, 2411, 1775, 2289, 1781, 2166, 1783, 2686, 2687}",,,,,,,,,,
26014,"{26240, 25857, 26241, 26242, 26243, 26246, 25991, 26119, 26249, 25866, 26379, 26380, 26126, 25871, 26256, 26130, 26134, 26007, 26139, 26014, 25888, 26017, 26145, 25512, 25897, 26280, 26284, 26285, 25775, 25908, 25533, 25794, 25796, 26443, 26192, 26203, 25820, 25949, 25826, 25828, 26340, 25576, 26217, 25834, 25962, 26358, 25978, 25980, 26237, 26238, 26239}",,,,,,,,,,
